N,E,Capacity
23.6021,120.4568,5
23.5848,120.464,1
23.5706,120.4943,2
23.5832,120.4684,1
23.6021,120.4566,1
23.6053,120.4566,1
23.6005,120.4506,1
23.5966,120.4149,2
23.6059,120.3977,1
23.5993,120.3796,1
23.5778,120.3951,1
23.5753,120.3965,1
23.5966,120.4149,1
23.5913,120.4441,1
23.5463,120.4586,1
23.5176,120.4283,1
23.4732,120.4301,2
23.4726,120.4299,1
23.4997,120.4504,1
23.5365,120.4587,1
23.5967,120.4622,1
23.602,120.4567,1
23.6075,120.411,1
23.5776,120.4142,1
23.6,120.3957,1
23.6128,120.4243,1
23.6021,120.4567,1
23.597,120.4567,2
23.5966,120.4564,1
23.5726,120.4847,1
23.5707,120.4944,1
23.6001,120.4658,1
23.6021,120.4567,1
