車牌,狀態代碼,行車速度,車頭方向,東經,北緯,日期時間,累積里程數,路段速限,局號
abc-1160,90,1,30,120.7776,23.7531,2018/3/16 上午 09:46:56,90,50,540023
abc-1160,90,0,30,120.7775,23.7531,2018/3/16 上午 09:47:26,10,50,540023
abc-1160,90,0,30,120.7776,23.7532,2018/3/16 上午 09:47:56,15,50,540023
abc-1160,90,0,212,120.7811,23.7484,2018/3/16 上午 09:54:26,0,50,540023
abc-1160,90,0,212,120.7811,23.7484,2018/3/16 上午 09:54:56,0,50,540023
abc-1160,90,0,71,120.7834,23.746,2018/3/16 上午 09:56:57,173,50,540023
abc-1160,90,0,71,120.7835,23.746,2018/3/16 上午 09:57:27,10,50,540023
abc-1160,90,0,71,120.7835,23.746,2018/3/16 上午 09:57:57,0,50,540023
abc-1160,90,0,332,120.7842,23.7368,2018/3/16 上午 10:01:27,108,60,540023
abc-1160,90,0,332,120.7842,23.7369,2018/3/16 上午 10:01:57,11,60,540023
abc-1160,90,0,332,120.7842,23.7369,2018/3/16 上午 10:02:27,0,60,540023
abc-1160,90,0,332,120.7842,23.7369,2018/3/16 上午 10:02:57,0,60,540023
abc-1160,90,0,332,120.7842,23.7369,2018/3/16 上午 10:03:27,0,60,540023
abc-1160,90,0,296,120.7884,23.73,2018/3/16 上午 10:06:57,103,50,540023
abc-1160,90,0,296,120.7884,23.73,2018/3/16 上午 10:07:27,0,50,540023
abc-1160,90,2,269,120.7885,23.73,2018/3/16 上午 10:07:57,10,50,540023
abc-1160,90,0,285,120.7871,23.7298,2018/3/16 上午 10:08:58,149,50,540023
abc-1160,90,0,285,120.7871,23.7298,2018/3/16 上午 10:09:28,0,50,540023
abc-1160,90,0,285,120.787,23.7298,2018/3/16 上午 10:09:58,11,50,540023
abc-1160,90,0,285,120.787,23.7298,2018/3/16 上午 10:10:28,0,50,540023
abc-1160,90,3,191,120.7868,23.7298,2018/3/16 上午 10:10:58,20,50,540023
abc-1160,90,0,304,120.7835,23.7337,2018/3/16 上午 10:14:58,15,50,540023
abc-1160,90,0,93,120.7853,23.7346,2018/3/16 上午 10:16:59,100,60,540023
abc-1160,90,0,93,120.7853,23.7346,2018/3/16 上午 10:17:29,0,60,540023
abc-1160,90,0,93,120.7853,23.7346,2018/3/16 上午 10:17:59,0,60,540023
abc-1160,90,0,93,120.7853,23.7346,2018/3/16 上午 10:18:29,0,60,540023
abc-1160,90,0,93,120.7853,23.7346,2018/3/16 上午 10:18:59,0,60,540023
abc-1160,90,0,316,120.7531,23.7482,2018/3/16 上午 10:27:30,146,50,540023
abc-1160,90,0,316,120.7531,23.7482,2018/3/16 上午 10:28:00,0,50,540023
abc-1160,90,0,316,120.7531,23.7482,2018/3/16 上午 10:28:30,0,50,540023
abc-1160,90,0,316,120.7531,23.7482,2018/3/16 上午 10:29:00,0,50,540023
abc-1160,90,0,264,120.7346,23.7776,2018/3/16 上午 10:44:13,640,50,540023
abc-1160,90,0,264,120.7346,23.7776,2018/3/16 上午 10:44:43,0,50,540023
abc-1160,90,0,264,120.7346,23.7776,2018/3/16 上午 10:45:13,,50,540023
abc-1160,90,0,253,120.6963,23.7621,2018/3/16 上午 10:57:44,84,70,540023
abc-1160,90,0,265,120.69,23.7607,2018/3/16 上午 10:59:14,289,70,540023
abc-1160,90,0,265,120.69,23.7607,2018/3/16 上午 10:59:45,0,70,540023
abc-1160,90,1,22,120.6822,23.7571,2018/3/16 上午 11:02:15,92,50,540023
abc-1160,90,1,22,120.6822,23.7572,2018/3/16 上午 11:02:45,11,50,540023
abc-1160,90,0,22,120.6822,23.7572,2018/3/16 上午 11:03:15,0,50,540023
abc-1160,90,0,316,120.6811,23.7589,2018/3/16 上午 11:04:15,219,70,540023
abc-1160,90,0,316,120.6811,23.7589,2018/3/16 上午 11:04:45,0,70,540023
abc-1160,90,0,316,120.6811,23.7589,2018/3/16 上午 11:05:15,0,70,540023
abc-1160,90,0,71,120.6936,23.7613,2018/3/16 上午 11:07:45,191,70,540023
abc-1160,90,0,57,120.7035,23.7645,2018/3/16 上午 11:09:46,181,70,540023
abc-1160,91,0,326,120.7049,23.7674,2018/3/16 上午 11:11:10,171,50,540023
abc-1160,90,0,326,120.7049,23.7674,2018/3/16 上午 11:11:16,0,50,540023
abc-1160,90,1,326,120.7048,23.7673,2018/3/16 上午 11:11:46,16,50,540023
abc-1160,90,2,131,120.7355,23.7666,2018/3/16 上午 11:26:40,137,60,540023
abc-1160,90,0,71,120.7442,23.7655,2018/3/16 上午 11:28:40,33,60,540023
abc-1160,90,0,71,120.7442,23.7655,2018/3/16 上午 11:29:10,0,60,540023
abc-1160,90,0,71,120.7442,23.7655,2018/3/16 上午 11:29:40,0,60,540023
abc-1160,90,3,75,120.7443,23.7655,2018/3/16 上午 11:30:10,10,60,540023
abc-1160,90,3,344,120.7429,23.7651,2018/3/16 上午 11:31:40,54,60,540023
abc-1160,90,0,269,120.7429,23.7652,2018/3/16 上午 11:34:11,24,60,540023
abc-1160,90,0,269,120.7429,23.7652,2018/3/16 上午 11:34:41,0,60,540023
abc-1160,90,0,269,120.7429,23.7652,2018/3/16 上午 11:35:11,0,60,540023
abc-1160,90,0,269,120.7429,23.7652,2018/3/16 上午 11:35:41,0,60,540023
abc-1160,90,0,269,120.7429,23.7652,2018/3/16 上午 11:36:11,0,60,540023
abc-1160,90,0,269,120.7429,23.7652,2018/3/16 上午 11:36:41,0,60,540023
abc-1160,90,0,269,120.7429,23.7652,2018/3/16 上午 11:37:11,0,60,540023
abc-1160,90,2,262,120.7429,23.7652,2018/3/16 上午 11:37:41,0,60,540023
abc-1160,90,0,71,120.7441,23.7654,2018/3/16 上午 11:38:41,62,60,540023
abc-1160,90,0,71,120.7441,23.7654,2018/3/16 上午 11:39:11,0,60,540023
abc-1160,90,0,71,120.7441,23.7655,2018/3/16 上午 11:39:41,11,60,540023
abc-1160,90,0,71,120.7441,23.7655,2018/3/16 上午 11:40:11,0,60,540023
abc-1160,90,0,71,120.7441,23.7655,2018/3/16 上午 11:40:41,,60,540023
abc-1160,90,0,71,120.7441,23.7655,2018/3/16 上午 11:41:11,0,60,540023
abc-1160,90,0,71,120.7441,23.7655,2018/3/16 上午 11:41:41,0,60,540023
abc-1160,90,0,144,120.7442,23.765,2018/3/16 上午 11:42:41,45,50,540023
abc-1160,90,0,144,120.7441,23.7651,2018/3/16 上午 11:43:11,15,60,540023
abc-1160,90,0,144,120.7441,23.7651,2018/3/16 上午 11:43:41,0,60,540023
abc-1160,90,0,144,120.7441,23.7651,2018/3/16 上午 11:44:12,0,60,540023
abc-1160,90,0,144,120.7441,23.7651,2018/3/16 上午 11:44:42,0,60,540023
abc-1160,90,2,132,120.7395,23.7586,2018/3/16 上午 11:48:12,278,60,540023
abc-1160,90,0,323,120.7394,23.7587,2018/3/16 上午 11:48:42,15,60,540023
abc-1160,90,0,323,120.7394,23.7586,2018/3/16 上午 11:49:12,11,60,540023
abc-1160,90,0,138,120.7458,23.7535,2018/3/16 上午 11:50:42,191,60,540023
abc-1160,90,0,138,120.7458,23.7535,2018/3/16 上午 11:51:12,0,60,540023
abc-1160,90,0,165,120.7537,23.7453,2018/3/16 上午 11:54:12,0,50,540023
abc-1160,90,0,165,120.7537,23.7453,2018/3/16 上午 11:54:42,0,50,540023
abc-1160,90,0,165,120.7537,23.7453,2018/3/16 上午 11:55:13,0,50,540023
abc-1160,90,0,184,120.7745,23.7354,2018/3/16 上午 11:59:44,15,50,540023
abc-1160,90,0,189,120.769,23.7319,2018/3/16 下午 12:01:44,52,60,540023
abc-1160,90,0,189,120.769,23.7319,2018/3/16 下午 12:02:14,0,60,540023
abc-1160,90,0,69,120.7778,23.7238,2018/3/16 下午 12:04:44,82,50,540023
abc-1160,90,0,69,120.7778,23.7238,2018/3/16 下午 12:05:14,0,50,540023
abc-1160,90,0,149,120.7793,23.721,2018/3/16 下午 12:06:45,127,50,540023
abc-1160,90,0,238,120.7797,23.7192,2018/3/16 下午 12:08:15,38,50,540023
abc-1160,90,0,238,120.7797,23.7192,2018/3/16 下午 12:08:45,0,50,540023
abc-1160,90,0,238,120.7797,23.7192,2018/3/16 下午 12:09:15,0,50,540023
abc-1160,90,0,238,120.7797,23.7192,2018/3/16 下午 12:09:45,0,50,540023
abc-1160,90,0,238,120.7797,23.7192,2018/3/16 下午 12:10:15,0,50,540023
abc-1160,90,0,238,120.7797,23.7192,2018/3/16 下午 12:10:45,0,50,540023
abc-1160,90,0,208,120.7951,23.6836,2018/3/16 下午 12:19:16,127,50,540023
abc-1160,90,0,208,120.7951,23.6836,2018/3/16 下午 12:19:46,0,50,540023
abc-1160,90,0,208,120.7951,23.6836,2018/3/16 下午 12:20:16,0,50,540023
abc-1160,90,0,199,120.7959,23.6773,2018/3/16 下午 12:22:16,126,50,540023
abc-1160,90,0,199,120.7959,23.6773,2018/3/16 下午 12:22:46,0,50,540023
abc-1160,90,0,199,120.7959,23.6773,2018/3/16 下午 12:23:16,0,50,540023
abc-1160,90,0,199,120.7959,23.6773,2018/3/16 下午 12:23:46,0,50,540023
abc-1160,90,0,199,120.7959,23.6773,2018/3/16 下午 12:24:16,0,50,540023
abc-1160,90,0,199,120.7959,23.6773,2018/3/16 下午 12:24:46,0,50,540023
abc-1160,90,0,199,120.7959,23.6773,2018/3/16 下午 12:25:17,0,50,540023
abc-1160,90,0,199,120.7959,23.6773,2018/3/16 下午 12:25:47,0,50,540023
abc-1160,90,0,199,120.7959,23.6773,2018/3/16 下午 12:26:17,0,50,540023
abc-1160,90,0,321,120.7959,23.6736,2018/3/16 下午 12:28:17,69,50,540023
abc-1160,90,0,321,120.7959,23.6736,2018/3/16 下午 12:28:47,0,50,540023
abc-1160,90,0,321,120.796,23.6736,2018/3/16 下午 12:29:17,10,50,540023
abc-1160,90,0,321,120.7959,23.6736,2018/3/16 下午 12:29:47,10,50,540023
abc-1160,90,0,321,120.7959,23.6736,2018/3/16 下午 12:30:17,0,50,540023
abc-1160,90,0,321,120.796,23.6736,2018/3/16 下午 12:30:47,10,50,540023
abc-1160,90,0,321,120.796,23.6736,2018/3/16 下午 12:31:17,0,50,540023
abc-1160,90,0,321,120.796,23.6736,2018/3/16 下午 12:31:47,0,50,540023
abc-1160,90,0,321,120.796,23.6736,2018/3/16 下午 12:32:17,0,50,540023
abc-1160,90,0,171,120.7956,23.6739,2018/3/16 下午 12:33:48,63,50,540023
abc-1160,90,0,171,120.7956,23.6739,2018/3/16 下午 12:34:18,0,50,540023
abc-1160,90,0,127,120.7956,23.6739,2018/3/16 下午 12:34:48,0,50,540023
abc-1160,90,0,127,120.7956,23.6739,2018/3/16 下午 12:35:19,0,50,540023
abc-1160,90,2,355,120.7956,23.6742,2018/3/16 下午 12:35:49,,50,540023
abc-1160,91,0,111,120.7957,23.6742,2018/3/16 下午 12:35:57,35,50,540023
abc-1160,90,0,111,120.7957,23.6742,2018/3/16 下午 12:36:18,0,50,540023
abc-1160,90,0,111,120.7956,23.6742,2018/3/16 下午 12:36:49,11,50,540023
abc-1160,91,0,111,120.7956,23.6742,2018/3/16 下午 12:42:17,,50,540023
abc-1160,90,0,193,120.7933,23.6761,2018/3/16 下午 12:44:15,87,60,540023
abc-1160,90,0,193,120.7933,23.6761,2018/3/16 下午 12:44:45,0,60,540023
abc-1160,90,0,193,120.7932,23.6761,2018/3/16 下午 12:45:15,10,60,540023
abc-1160,90,0,193,120.7933,23.6761,2018/3/16 下午 12:45:45,10,60,540023
