N,E,Capacity
23.602,120.4568,8
23.6031,120.4598,1
23.5726,120.4869,1
23.6021,120.4567,1
23.606,120.4565,1
23.6021,120.4568,1
23.6021,120.4567,1
23.6044,120.3975,2
23.6149,120.3953,1
23.5861,120.3802,1
23.5625,120.4083,1
23.6021,120.4566,1
23.597,120.4567,2
23.4856,120.4409,1
23.4771,120.4339,1
23.5611,120.4651,1
23.6035,120.4478,1
23.6059,120.3977,1
23.602,120.4567,1
23.6019,120.4566,1
23.5968,120.4574,1
23.5706,120.4943,1
23.5963,120.5216,1
23.5988,120.4601,1
