車牌,狀態代碼,行車速度,車頭方向,東經,北緯,日期時間,累積里程數,路段速限,局號
5712-YD,78,0,293,120.4567,23.602,2018/3/12 上午 08:23:48,15,50,600051
5712-YD,78,0,60,120.4567,23.6021,2018/3/12 上午 08:28:23,,50,600051
5712-YD,78,0,60,120.4567,23.6021,2018/3/12 上午 08:28:57,0,50,600051
6509-VA,78,0,0,120.4567,23.602,2018/3/12 上午 08:31:55,,50,600051
1473-QH,78,0,0,120.4576,23.6011,2018/3/12 上午 08:33:17,135,50,600051
5712-YD,78,0,90,120.4567,23.6021,2018/3/12 上午 08:55:24,11,50,600051
5712-YD,78,0,248,120.4244,23.6129,2018/3/12 上午 09:06:42,0,60,600051
6509-VA,78,0,0,120.4566,23.6019,2018/3/12 上午 09:09:37,,50,600051
5712-YD,78,0,254,120.4033,23.6055,2018/3/12 上午 09:12:19,0,60,600051
5712-YD,78,0,255,120.4023,23.6053,2018/3/12 上午 09:14:16,0,60,600051
5712-YD,78,0,173,120.4003,23.6039,2018/3/12 上午 09:17:44,10,60,600051
5712-YD,78,0,1,120.4003,23.6036,2018/3/12 上午 09:19:23,0,60,600051
5712-YD,78,0,271,120.4003,23.6046,2018/3/12 上午 09:21:29,0,60,600051
5712-YD,78,0,277,120.3952,23.6031,2018/3/12 上午 09:25:01,0,60,600051
5712-YD,78,0,84,120.3957,23.6036,2018/3/12 上午 09:35:58,,50,600051
6509-VA,78,0,97,120.4568,23.5952,2018/3/12 上午 09:37:42,,50,600051
5712-YD,78,0,66,120.3975,23.6045,2018/3/12 上午 09:40:47,0,50,600051
5712-YD,78,0,97,120.3991,23.6048,2018/3/12 上午 09:43:51,0,50,600051
6509-VA,78,0,93,120.4746,23.592,2018/3/12 上午 09:46:16,,60,600051
6509-VA,78,0,93,120.4746,23.592,2018/3/12 上午 09:46:18,0,60,600051
6509-VA,78,0,194,120.4725,23.5812,2018/3/12 上午 09:51:10,10,60,600051
6509-VA,78,0,171,120.494,23.5705,2018/3/12 上午 09:56:52,,50,600051
6509-VA,78,0,171,120.494,23.5705,2018/3/12 上午 09:56:54,11,50,600051
5712-YD,78,0,176,120.3941,23.6173,2018/3/12 上午 10:01:03,10,50,600051
