車牌,狀態代碼,行車速度,車頭方向,東經,北緯,日期時間,累積里程數,路段速限,局號
1456-QH,89,0,6,121.5162,25.1175,2018/3/12 上午 10:48:54,0,50,100600
5471-YD,89,0,114,121.5032,25.1358,2018/3/12 上午 10:50:23,30,50,100600
7816-QK,89,0,87,121.4892,25.1384,2018/3/12 上午 11:00:59,0,50,100600
7816-QK,89,0,87,121.4892,25.1384,2018/3/12 上午 11:01:29,0,50,100600
7816-QK,89,0,87,121.4893,25.1384,2018/3/12 上午 11:01:59,11,50,100600
7816-QK,89,0,87,121.4893,25.1384,2018/3/12 上午 11:02:29,0,50,100600
7816-QK,89,0,0,121.5012,25.1284,2018/3/12 上午 11:10:00,60,50,100600
7816-QK,89,0,0,121.5011,25.1284,2018/3/12 上午 11:10:30,11,50,100600
7816-QK,89,0,0,121.5011,25.1284,2018/3/12 上午 11:11:00,0,50,100600
7816-QK,89,0,3,121.5011,25.1285,2018/3/12 上午 11:12:00,0,50,100600
7816-QK,89,0,3,121.5011,25.1285,2018/3/12 上午 11:12:30,0,50,100600
7816-QK,89,0,3,121.5011,25.1285,2018/3/12 上午 11:13:00,0,50,100600
3670-QH,89,0,238,121.5067,25.1175,2018/3/12 上午 11:13:15,69,50,100600
7816-QK,89,0,3,121.5011,25.1285,2018/3/12 上午 11:13:30,0,50,100600
3670-QH,89,0,238,121.5066,25.1175,2018/3/12 上午 11:13:45,10,50,100600
7816-QK,89,0,3,121.5011,25.1285,2018/3/12 上午 11:14:00,0,50,100600
7816-QK,89,0,3,121.5011,25.1285,2018/3/12 上午 11:14:30,0,50,100600
7816-QK,89,0,3,121.5011,25.1285,2018/3/12 上午 11:15:00,0,50,100600
5472-YD,89,0,58,121.4973,25.1374,2018/3/12 上午 11:18:49,38,50,100600
5470-YD,89,0,15,121.522,25.1132,2018/3/12 上午 11:19:19,11,50,100600
5472-YD,89,0,58,121.4973,25.1374,2018/3/12 上午 11:19:19,0,50,100600
5470-YD,89,0,15,121.522,25.1132,2018/3/12 上午 11:19:50,0,50,100600
5470-YD,89,0,15,121.522,25.1132,2018/3/12 上午 11:20:20,0,50,100600
3670-QH,89,0,300,121.5092,25.1145,2018/3/12 上午 11:20:45,30,50,100600
5470-YD,89,0,15,121.522,25.1132,2018/3/12 上午 11:20:50,0,50,100600
5471-YD,89,0,344,121.498,25.1436,2018/3/12 上午 11:21:10,87,50,100600
3670-QH,89,0,300,121.5092,25.1145,2018/3/12 上午 11:21:15,0,50,100600
